variable_3,variable_6,variable_14,variable_23,variable_30,variable_33,variable_56,variable_66,variable_87,variable_92,variable_96,variable_100,variable_103,variable_139,variable_141,variable_151,variable_152,variable_154,variable_157,variable_161,variable_165,variable_174,variable_186,variable_197,variable_212,variable_215,variable_251,variable_267,variable_327,variable_368,variable_373,variable_377,variable_392,variable_422,variable_435,variable_444,variable_458,variable_460,variable_466,variable_472,variable_486,variable_498,variable_510,variable_516,variable_519,variable_524,variable_541,variable_552,variable_563,variable_577,variable_582,variable_610,variable_632,variable_639,variable_683,variable_690,variable_770,variable_776,variable_783,variable_807,variable_820,variable_821,variable_857,variable_860,variable_883,variable_943,variable_950,variable_953,variable_957,variable_990,variable_1000,variable_1033,variable_1104,variable_1107,variable_1118,variable_1162,variable_1197,variable_1228,variable_1239,variable_1244,variable_1245,variable_1280,variable_1282,variable_1283,variable_1286,variable_1289,variable_1300,variable_1304,variable_1307,variable_1320,variable_1323,variable_1326,variable_1327,variable_1331,variable_1387,variable_1389,variable_1396,variable_1406,variable_1407,variable_1408,variable_1411,variable_1412,variable_1432,variable_1433,variable_1434,variable_1435,variable_1449,variable_1450,variable_1502,variable_1550,variable_1582,variable_1584,variable_1587,variable_1589,variable_1593,variable_1597,variable_1667,variable_1671,variable_1674,variable_1676,variable_1684,variable_1687,variable_1710,variable_1713,variable_1716,variable_1717,variable_1726,variable_1727,variable_1732,variable_1757,variable_1796,variable_2034,variable_2071,variable_2099,variable_2100,variable_2101,variable_2102,variable_2103,variable_2104,variable_2141,variable_2147,variable_2148,variable_2149,variable_2150,variable_2153,variable_2155,variable_2167,variable_2194,variable_2195,variable_2198,variable_2206,variable_2218,variable_2219,variable_2220,variable_2223,variable_2229,variable_2231
19.7617855234146,22.184808825851647,17.500898588805597,16.8056038358663,14.5569496432283,20.468755513149393,15.7536168959443,13.887720209475534,22.3606265444222,18.1020894738472,17.711202278908,16.7329682329567,14.280716264437098,18.769473614763104,20.3559766743647,17.91828345750489,16.3352607491032,17.214668434116597,13.6441922573144,15.8923369162632,20.33321651335492,16.761999698827502,22.641908367591327,18.7611639404688,18.1851448082222,14.6985456096935,19.6725864753262,19.0767228573076,14.582609489961,14.123181891603823,17.1419070422321,16.807995651805502,14.58209415060741,21.988468939398107,15.194152514054899,15.3809138053866,14.468363189310113,23.5135723390544,20.0163753673477,16.649415965295,14.303787346822,19.4570585738042,17.6100725180608,20.190545861548102,15.227414903515598,16.7442509615526,13.2536226227362,20.80680474595789,17.4278952473828,19.2575511264189,15.9648304578992,13.750008880880598,19.3010492240986,16.1930368899096,15.130106027949,17.401118185209995,16.955199516851803,18.76559520627989,15.8954080407456,21.1492665232322,16.353194143160998,15.5196882258946,15.951380340576367,13.2459542605105,18.2705196243501,18.6873358197969,16.096522120795502,19.294966560791437,16.490289667783802,12.8325338272824,17.6686692056216,14.962276412822835,16.1775995190944,14.980111923306598,18.6152578545093,15.9928241740253,14.7330843429479,14.4191645433111,16.240670899063502,14.2553499286018,16.6050147674607,23.853264250561,21.8389771686232,15.2798379573004,19.2057371518504,15.921308103529196,14.6571992841211,19.4340129077634,17.3023498373556,24.642331257583,22.7346647562584,20.1150643036416,16.921045243578302,16.423294550445398,22.279970342771,20.25265651492029,16.3690752058233,21.242226112460408,19.370129970249128,17.539965172946,16.589772851385955,15.406644583659403,18.572818705114,15.9197229080771,16.280469118606902,14.025767875764696,15.0578565874297,13.9439604806217,15.633662139832197,15.9215564582193,23.164702062294882,21.2463668142198,22.727159450891104,20.7483874195632,18.121264013776,15.0100976149949,21.3237828618989,19.486952198618,20.5249905535652,18.4600010741805,14.4306854920195,15.1491280458147,18.3304698621198,16.266339917229303,17.9044615696612,15.853743527533,16.3662326567574,16.237174934136902,15.9695826367626,16.1432882660331,15.281644307460198,13.324183020668302,16.964980580155753,19.267294991976,18.0529565316408,21.626802094327303,20.4865644809427,21.29496417718107,20.043629360730893,15.9866419843271,20.9457304824318,19.896071527108106,20.2844486627321,19.03682425635603,20.16705715315869,19.033695930837894,14.412780205557095,13.937860687401304,21.33892606771577,13.254197955376,14.5721250156371,19.701411863153,18.6640869208878,17.2143730225273,15.2338431448176,16.1101344890783,15.0932126974391
19.7352793066033,20.8314140755802,17.9537796085427,15.887106705149945,14.717492459864136,17.0949064861874,17.691774857483498,13.8886755567237,21.9247884617342,16.46068839543593,17.6190949026409,18.1978149005994,14.13889402648954,18.9506797213716,19.600800709126503,18.6144758145575,16.467577692420402,17.0480194591592,13.558383453552414,15.329003146375802,20.2244040518919,15.1239050211223,25.000472638502497,18.7054039784567,17.0122889930193,14.7914202063819,15.852982799197,18.4785648260095,14.7805906226566,13.9533844299585,16.9148285786576,16.2199269496328,14.4152481687075,21.96294856924989,15.4855051414181,15.3269693885843,14.5935879347657,22.6563268210775,19.1427900589128,15.8352188898199,14.1817337291156,19.4270048196393,15.480361198066,20.0210810430476,15.4298366651302,16.508838067369698,13.7734184652987,16.9689847978281,16.8339259068786,19.251520591468033,15.3978667066179,13.9901181570468,18.8327773907524,15.7809748379474,14.658665497118498,16.922684652787,15.703208194250696,18.6304723682363,15.7407912740825,19.2005313479545,16.1846026951306,15.1804192860991,15.8308303635405,13.0897322795551,17.4299166063017,18.349331344341604,15.7696742992104,18.739280146999302,16.0952916713232,13.323863888628,16.8116929207091,15.1613412209497,15.506850952779715,14.179534821932002,18.116245453525437,16.066418038894803,14.6960456563504,13.8970384782368,16.037285819298805,13.8765535634111,16.4322177129068,23.7410246261192,21.732344015548502,15.1985503729479,19.078187131813603,15.7097601787049,13.8344024587072,19.0460273737449,16.9331504946651,24.5319374620595,22.620361435222,20.0064195257849,16.7833546258452,16.33893331713203,22.2535880595534,20.2813283377033,16.3512169466579,21.2298056726145,19.3582525088933,17.5707159451368,16.5271463004905,15.381642717256,18.268418998768,16.0596300747494,15.9652709718397,13.9830554045807,15.1147680562253,13.9829451768993,15.625242941409304,15.9046017447161,23.309318680791,21.35293266634471,22.852765816242,20.8952964538957,18.24329954189,15.0853679907543,21.9767111700456,20.214315007399,20.288004296983303,18.1796989930712,15.0898288916683,16.0789830462189,18.4210612605217,16.461790595822364,17.9604074485291,15.898091342162354,16.441150307561397,16.502490776543098,16.611889589252257,16.9609291203088,15.2678924057233,13.9109088086565,17.002826982099098,20.3114145697298,19.274945648697,21.43162102545,20.47640995012955,20.471540248884494,19.191203416364697,16.890235642567,21.0325931199125,19.9924339231277,20.0268442110829,18.7337884749264,19.42721482868589,18.248052166184262,14.424229887683044,14.4823266854984,21.0867239801848,13.361210046479405,14.284383336759513,19.4723018512623,18.418976221063897,16.9847978609761,15.009879212014,16.03992240615,14.866883297971572
19.43048772859915,22.1526043921815,17.4047149804776,15.9471763505295,14.5537068226481,20.4017627607296,15.4418217285904,13.7497865899808,21.346243259432303,17.071935884056302,17.5358821366982,17.4052363359867,14.0998400997266,19.9879613971185,20.0112009216174,18.6559482663501,15.831639460404196,16.9746064472612,13.5268996179517,16.206969829306,16.272353768984306,16.750935337639802,23.8264186345781,18.3145987301588,17.2362089561643,14.656120344485451,19.446377548197553,17.8191177042437,14.154928733624,13.1864124034325,16.9606262344026,16.4582294302982,14.2899942184507,21.8918944839826,15.1440253473266,15.028363850294784,14.1564945632251,23.4383916990214,19.929826589733,16.6233720052898,13.856563428601389,19.4432266211926,17.647457345409894,18.7075596319187,15.9748825816464,15.3108802550717,13.3542820644124,20.7456287831257,16.3458981143478,18.284295696305,15.078968928361187,13.7918491484708,17.6536253710165,14.7109431021605,15.0866234451212,17.1464953382211,15.395334664912696,18.542308930943,15.6888851760885,19.404461003697,16.3317279944971,15.496024379829,15.73818051181,13.105836277362604,16.5753340942362,18.70333239989069,16.1374441957985,19.059562956962896,16.3835320097885,12.9795193402807,17.344823047571,15.0838600816796,14.7458343020746,14.9165571535048,18.608036728888603,15.861384833636198,14.67079651578147,14.220083112199331,16.0497701803617,13.9995361446665,16.5252058602208,23.6636831489952,21.6552422705092,15.122663565123148,19.036907493319237,15.6857542276194,14.532699881165302,18.5644560463807,16.453300189573,24.4535029749278,22.525180882630526,19.9375290717768,16.8554229831034,16.3770539148374,22.311742433231696,20.3055962948123,16.4209514242404,21.19608819723389,19.3070590276464,17.5698042251802,16.558438857420402,15.473411538507197,18.3951155252365,15.3591320568816,16.1525148298352,13.367930544117902,14.9568706553561,13.9372539336094,15.5772831489005,15.208632422308,22.1401400321506,20.2639478454855,22.14196785414969,20.24403834570661,17.6142536082107,14.4542863588295,20.2436234737653,18.2793138308619,19.234747606323303,17.1763647728739,13.9018439976422,14.6981023539589,17.0500493711183,15.150635851138697,17.2454551570845,15.2950453297806,15.2340441577371,14.5609745216827,14.895788975283198,14.9390158945974,14.753106386503598,14.028832842679998,16.7359695818223,19.704117494916503,18.564044126119494,21.3139971677978,20.331491804383937,20.6898654032967,19.4526483408893,16.1500085743843,20.83330506617889,19.8164991228601,19.8910121121506,18.5743053159253,19.646262203707604,18.40643520736069,14.3098046097739,14.3186381826579,20.7861320286808,13.2667102978637,14.107291688874541,19.42677730210201,18.3661142731122,16.9053784108035,14.881885434977038,15.8097752986208,14.901093042419
19.3768753582851,22.1693885760007,15.8369570214266,16.3712114425071,14.7991174424272,20.4280453909091,15.3614722120965,13.823329509972,22.290428728857844,18.4232243276137,17.483532009244,16.3093263975159,13.9681821704563,20.525317514167103,20.5304380818981,18.189883023271708,16.2362818447456,16.9406221476026,13.4817359065418,17.046891565916518,16.7751716966522,16.631209522414,24.7415760844346,18.3302431855404,17.6776625202221,14.6728856762881,19.7234041091209,18.4790845181974,14.2220682824137,13.4244566937729,17.004892842541803,17.423468122844934,14.4341994544472,21.965156387070497,15.325902224269,15.1968478733145,14.3572057064565,22.4396737049855,18.92298338286501,15.6781575262493,14.0096730687944,19.4787278435314,17.620988429345502,19.6625548712032,15.6352658166083,16.1580386570635,13.5597957860756,20.8371767674232,16.8480171401185,18.2899613079128,15.0637712779955,13.9629346720879,18.411473894522,15.2783723427164,15.0392091154563,16.310248778898618,15.1753828344375,18.5081041297495,15.6220589009659,18.2678826039682,16.114402606647502,15.495568580573002,15.738205907272803,12.9734268223836,16.6843570949684,17.3947764363825,14.979151221587,17.6935403321241,15.043032572041302,13.080671200636498,16.6381421980396,15.1075878641418,14.2457690373155,14.878620800944955,18.6577260131299,15.946492551110802,14.770219339027,13.4964811644507,16.0045844785557,14.070701134321403,15.704348310328,23.619644452901593,21.6187340939053,15.130812030676275,19.0085009114164,15.721637060895237,14.5420247557291,18.569507345922,16.489639305075,24.4117603198323,22.489631747238494,19.8944875752461,16.9761522610201,16.3451044140016,22.240994388437475,20.2334932167497,16.3359283238777,21.123838971657545,19.2469160298088,17.736073454960998,16.5013477411388,15.429517350259346,19.636085893468664,15.308759992824518,17.3070154861468,13.3163232754663,14.8819648858039,13.7149582864039,15.6095516027994,15.1289191671647,23.21200899055612,21.200218424147803,22.9467397537423,21.00273021252364,18.3646894107774,15.1982912525469,20.9198622401001,19.028558775453803,20.2954355962483,18.1565991971977,14.7175276641237,15.6586825092649,18.471003766020377,16.279708263740197,18.1441644180738,16.0932620651137,15.8527345554585,16.2289620377178,15.757589754616829,15.6891587375494,14.7402019814402,13.6388565626564,16.341259223378902,19.0911855528328,17.8983415888608,21.411278705474427,20.1113135629284,20.95547889465584,19.7165702336276,15.8883342202516,20.245537257394,19.243326938117,19.8974609322842,18.722732701544302,19.7503430998622,18.579045668130718,14.3930937604923,13.8485726617583,20.5616757309195,13.473014473208304,14.1180449560722,19.237773335211106,18.1800607513925,16.7513300563781,14.8295651068961,15.7386081804002,14.762557951289
19.734034242367628,22.150248841050896,16.6101713879351,16.1717629964219,14.642724808993462,20.4214317699243,15.836618180829499,13.4656024125581,21.682433857199506,17.4235440476631,17.0942054000533,19.3418761442282,13.649416254228727,19.2166824100772,19.8070238938866,18.8056399463393,16.023327882423402,16.536793482906788,13.1488295384991,17.2943546997199,16.4798668523683,16.938664532462802,23.889664093052694,18.5478913000384,17.6029769608756,14.3629433822968,19.6557101326217,17.8615386088477,13.6967503256651,13.2599022531414,16.91027019812942,17.1705573026786,14.635147093572,21.743212605148106,15.4059135430873,15.2215412381378,14.5321450634455,22.8549237060142,19.3324494217703,16.006237774676002,14.0861896966551,19.16603077563585,17.6428585984997,18.6975975872283,15.0298632992853,15.281679237357302,13.3807868801434,20.7852578466232,15.509355998659403,19.1499305573799,15.864272454946802,13.7728167798604,16.978420889296597,14.190656558294,14.9860332339713,17.4416558981803,15.9953530319001,18.159455752684135,15.347476279346,15.6870856193346,16.429586094471,15.4738466554034,15.2804706569913,12.598057761033402,17.266943718517698,18.5921886788075,15.9502474291644,19.6215728829771,16.9678505271946,13.1219651331706,16.500149371157402,15.2143843451075,15.483549678711,14.874043310408311,18.762557325865,15.625364441368,14.7387723968899,14.271935045858685,15.6745400897894,13.5026468404905,16.6246325187873,23.2697978401372,21.2365488476178,14.9329073885049,18.591804549204102,15.2432579264448,14.576639747122,18.3852483128528,16.244170117570697,24.0658501062856,22.121793087656805,19.505243272782103,16.232158364241,16.3481371472528,22.2263103274066,20.2145255058558,16.3301620480588,20.9480883180858,19.08268996930489,17.2023040883185,16.3319706971349,15.0689404038792,18.8919229235378,15.124699422165198,16.5961121477587,13.056574421412304,15.0027845878686,13.9994709578785,15.7484353239694,14.9736204892243,22.374462007561693,20.4604205109369,22.1071580135925,20.2205248577516,17.4724309434845,14.3506092356826,19.7915544232462,17.8161144434547,19.0775690342672,17.0509104302472,13.638984600926197,14.7809819337984,17.3141696674017,15.3632026980501,17.1398136859057,15.189760241229,14.6152006225023,14.883884721608,14.170355873557225,14.3458050587512,14.3648778974046,14.0596212882027,17.1143078909896,17.866472931869602,16.6162412488196,21.4624907741459,20.3543338250523,21.1394195527172,19.9041158099808,15.2011242645978,20.5404358385324,19.5228606066587,19.7273233834638,18.3510094287858,19.65086202640738,18.478575523831505,14.6771532933246,14.0114204157249,19.8173525619449,13.2224317849074,13.292391406236232,18.5345110837529,17.4429387474158,15.990383865505024,14.083873952896,15.2871991859195,14.327957970871198
19.63503990309055,22.198844085782103,15.8105358646034,15.894321584694,14.6472079558056,20.5249722402572,15.389935199418002,13.5895090257459,21.581378531023503,17.3156138889826,17.531132256221,15.966666004804232,14.1856509672633,19.216990757975736,20.672323545797106,18.3922504047274,16.434647078828988,16.972248669384598,13.5421620600714,16.952093676071502,18.9134782455288,16.6139952801794,21.2024553069449,18.246472375581305,17.1311371102853,14.4142393947768,19.779101999362,17.581628199129,14.5388514293025,12.9868477196482,17.1116531684779,17.32632761246206,14.4452539791832,21.7924909967734,15.3125071179866,15.1718003212658,14.431963887384,24.048327581047506,20.5070504477686,17.2599532006031,14.010361455638002,19.3295489335273,16.2450385951291,19.2764981867787,14.765596525193804,15.8025074979268,13.4228182001176,20.9092163107813,16.8315350752626,18.559600464414,15.3186908445924,13.9105201930978,18.218082725948797,15.17908142302698,15.1287789671234,19.3522150197369,14.3804244670279,18.5736534543802,15.7152510047097,15.4483304420635,16.092563920739,15.6568705449151,15.7314281673457,13.239298182610002,16.598863924184837,19.6570690242594,17.0301802011932,21.1745088788747,16.647811244009073,12.9951121962824,16.2563864052442,15.0793967238502,15.4397387442489,14.5223168764859,18.6992848608987,15.737060079333196,14.566314817059943,14.895777562343,16.028158714123194,13.976044885268651,17.223480826077495,23.6671052996459,21.6555239027458,14.958754812972,18.998975955147703,15.767189710478,14.6356320991781,19.8288236826827,17.723423775102383,24.4454916732385,22.523482858225538,19.923650350335,16.6931670806442,16.4893914229509,22.3252738428924,20.3099079561781,16.4587579612655,21.2323991866313,19.3371979409417,17.7880922479752,16.5510156785673,15.541719359858902,18.694407028102106,15.0464702806721,16.4342583772422,13.1067774147274,15.2158914582006,14.3339666861948,15.6688471392301,14.998008049567805,23.5012154736125,21.579192550641107,22.4453758418928,20.4686939970443,17.793143792742182,14.7269398385771,21.1306311923233,19.2671966477772,20.038048785104102,18.0949719562467,14.35392835962,15.0874592275691,18.68788155256,16.6057053701377,17.463294260539577,15.431239614734,16.1120437555909,16.6996564397035,15.799919815683475,15.854525706142097,14.342077093958002,13.932717484892116,16.812491064078802,19.359178983625576,18.0957755710607,21.5747079931077,20.4360567029756,21.0285773730515,19.79296417045489,16.0088507990586,20.701311667320105,19.677757849776302,19.8650096338855,18.5744141637863,19.547810016557,18.3090847199338,14.5177822553439,14.1964807015968,20.864113730909104,13.2930473485554,14.1872123158984,19.4084440379077,18.3574124677512,16.8809672404694,14.9596150684665,15.880145038210197,14.9779927101424
19.5265682410312,22.092599381370697,16.42656527390513,15.9573125563588,14.6254922335059,20.3264537224954,15.0340616777508,13.8785046539844,21.6072078688214,17.3186580374276,17.6832273539572,15.866559545180197,14.2191189153439,20.1058445939402,19.81440579161961,18.050778279798102,16.023418856163097,17.1398609400299,13.6736597802486,17.00481153715876,17.0792045876391,16.5566264069388,18.505886615274,17.8571759136491,17.147484533993513,14.686928840338302,19.5572389942621,17.4156048302002,14.5646003740887,12.778444299417698,16.9219816835676,17.8018620139835,14.0525924302511,21.8444378968852,15.3059788175689,15.1691142835064,14.3904174539342,22.3914167793386,18.852857016737,15.564984880768531,14.043309162038,19.3142562244435,17.520038267373,18.4045071877538,15.2002203215852,15.051310663288,13.5534666200332,20.680018127396103,16.077995327842725,17.9673309098729,14.808692341387902,13.9102621780859,17.7109212861002,14.5967816011334,15.2110876881767,16.878661247022702,13.6294833423578,18.7374622747936,15.8321546405038,16.986543656613602,15.8392502993212,15.4178526048801,15.9000348477985,13.2586512323796,15.6180035705704,18.3727784424333,15.8188657946213,18.926605911941,16.215440555569803,13.0770636214712,16.0260943143456,15.026445756249304,15.1782667196898,14.8344354721098,18.4088253625986,15.7247682929772,14.4296981602436,14.128152993700096,16.2141134838651,14.223591044258802,15.846355940658785,23.8157674260744,21.7919787024528,14.893052151139695,19.14180476406469,15.8169891635179,14.491591725762598,18.4271217787916,16.2905660418743,24.5805107515248,22.675062874905898,20.0551323546117,16.8155210986431,16.327185600592,22.283489982818,20.2598184736774,16.3645502201549,21.2924093461353,19.4096197336088,17.2149820634334,16.6756283151047,15.0646025758169,18.9655510845038,15.7329053603944,16.6259049540239,13.784843795592597,15.318644220878198,14.3941186042666,15.4766602715806,15.584114953677402,22.67714470444552,20.6906111321334,22.4228084476794,20.4850265056642,17.78595610655838,14.6659165607969,20.892572157338,19.0524150451322,20.05330841460389,17.9930851153651,14.250042793087196,14.9457469591988,17.6935050020275,15.7028556870257,17.637279236218102,15.7010597608958,16.0115674014516,15.5336000645596,15.520465043916197,15.7477404911853,14.9812320353923,14.0614070560859,17.1357147859458,19.213188393089457,17.745431934281,21.90660629881189,20.7901489135956,21.2102082087352,19.964467782629566,15.9539489912768,20.8061599664882,19.7507570329094,19.9888048409606,18.7383999192376,19.8398721598126,18.6765975210386,14.6757950186454,14.031074885851615,21.2337812405506,13.1500924177003,14.3323130942254,19.681410813059102,18.629308233254303,17.196086502519396,15.2148124345011,16.0125955188237,15.0648085989941
19.349325855146105,22.093305758993395,17.5250847376815,16.0591882377332,14.576809900325804,20.267317733864104,15.799686423641,13.8860998337511,21.4479547112468,17.1044660257371,17.751430605014697,16.9856393142109,14.323708515586,18.6539161846936,19.8056818172154,18.2534772915654,15.7652345550635,17.249770458751037,13.7788869730054,18.017766734725303,19.1137715070484,16.5547627451697,22.2730133916749,18.5467240686588,17.3588864193806,14.5658113887978,19.49710096235589,18.1732313488759,14.714152343691769,12.9104631173712,16.920714396990594,17.534961783225953,14.2924836726874,21.9189751001196,15.1921551215244,15.016235930735123,14.2916026685262,22.880839659566693,19.353663552202303,16.0410466184518,13.9131556124536,19.459827667444,17.5624637488203,19.174286989605505,15.6351777224401,15.743910592544,13.439969686168842,20.654109258245803,15.834586171879003,18.3081233266647,15.1243525610067,13.793447999604304,17.335454452482,14.371862903036844,15.2396217994237,17.2054744477861,15.935826475440097,18.7990413640435,15.8836417317233,16.3587597060301,16.0463813795844,15.806760411497889,15.9766568388314,13.1416810699577,16.9796040108059,18.9169948668563,15.987040215206076,19.759585298339104,17.112107558590697,13.0268874976108,17.1225536742273,14.910472966433517,15.8707867235456,14.9962571370914,18.6676288149244,15.818671054372585,14.517319079747,14.7240341792908,16.221933829051974,14.160368022563,16.9166639369255,23.8936636941347,21.8814545882688,15.1136999682633,19.2257398619756,15.8489356463128,14.482060040398776,19.2127882731953,17.082689731523498,24.659474900524103,22.7570304757325,20.1362601128719,16.966580768004,16.318537190606,22.2107310628027,20.2181603565928,16.2918090491728,21.2248349795116,19.3092819974367,17.3534999551456,16.5096809923791,15.124619980508,18.7136399408912,15.688984463071847,16.4351984321893,13.7905821258243,15.110860649052697,13.98005906760328,15.5079891284704,15.216816566086736,23.043929243722836,21.073605575073604,22.232960951332107,20.2941414412804,17.5560237391593,14.4361089191302,20.8990348938924,19.0315256605343,19.9072401891437,17.8500448622404,14.115483205370886,15.167716371322598,18.1848233383124,16.0996434619915,17.360437259039198,15.3685651124407,15.8708805990566,15.9693149668305,15.261417107496,15.6977696141159,15.1046167883883,14.3055732756413,16.87211885971311,18.4276888783616,17.2466140882103,21.44314835043796,20.425069718040604,21.0170957592074,19.7853509462591,15.9271528635066,20.782276258342,19.7292713410374,19.8543906981827,18.524566831451494,19.5708689879955,18.316217830354606,14.6150113758218,14.018070997941262,21.4429734687637,13.2375964193188,14.4956830315452,19.742439983077,18.7020889483647,17.2586429132164,15.2757233866882,16.068754271380598,14.924067492660203
19.6102372526588,22.006736581504,20.1994789116129,15.5280907197468,15.1900512829924,20.25617685850214,14.92309116486973,13.6621278200069,20.8117178887198,16.5694645087768,17.6674149601214,15.2184379100583,14.1709049640426,20.1025723613822,20.4061456908462,18.054166296892287,16.2085519406707,17.0880938559023,13.4637469304821,16.7395252567098,17.791564318196606,16.7467348173209,22.6999171698942,17.7142771805305,16.5850145537556,14.472416536095162,19.4648731951333,17.228140292911657,14.1342501883949,13.4431490471451,16.9648404244831,16.9609499380074,13.2966384631198,22.1942576196606,15.4094729280944,15.216924726128566,14.4682431910564,22.5432974602606,18.9989691430113,15.721315052277602,14.1290683413612,19.6232196261887,16.90664094802414,18.4654457953283,15.0318821253177,15.0209944966418,13.6536452986895,20.6211955693949,15.8610979186128,17.3595157393519,14.3374032750021,14.0868187090637,17.1934892647928,14.335616859363196,15.3438185363536,16.3265544748751,14.1726550343255,18.7016807969026,15.865463957545,17.751016292525023,16.6986482337749,15.8580670469711,15.847486129463586,13.3065731353961,15.2441830492503,19.072907695977896,16.4669474057197,18.8903248930046,16.2012250012713,13.2969810481965,15.475778126057,15.1233883218962,15.31662094262999,14.779004857354,18.5039398249782,15.8103674495128,14.5329594415007,14.5860884014114,16.12559526432237,14.1029907070299,15.9610663686489,23.7776288054604,21.7706690558429,15.023370773898003,19.102069157900754,15.7841107409386,14.3657119664662,18.522551803279224,16.4018715142468,24.5344785855284,22.634771804158458,20.021426959064,16.8159975346228,16.2040241066691,22.1763898850699,20.1811429355911,16.2365233962961,21.2194870426158,19.3310322596926,17.3114466199231,16.56881495324818,15.0490215017482,17.6150908698813,15.7138546462188,16.41141285597524,13.6027183783218,15.2362624151373,14.0604140395138,15.481720322025982,15.598922918443,22.835619259984497,20.904303370318868,23.3489908860118,21.43377635172,18.85992200406569,15.6850955984188,21.62294306697061,19.8443300389877,20.5463956977508,18.579004753013,15.0861063252541,15.707277571013696,17.8990919251502,15.9265516067048,18.5508208231433,16.5158840045052,16.8154084774676,15.836648471809196,16.7356897967585,16.75119154902973,14.708939762032813,14.5858247041239,16.9019733954022,17.5907316923785,16.4329111892566,21.395912673701,20.2504265551204,20.4547635759263,19.17452967561354,15.181591040719097,19.972059754250505,18.9644513202622,19.3163802381336,17.879068011890624,19.72027222760873,18.4420745279234,15.0058528298471,13.685219955710402,21.1974208105505,13.057979051237059,14.216613496858196,19.710786124244784,18.4852534514468,17.046558483134802,15.0214389705442,16.0263742745204,15.0341017825469
19.409256643865604,22.122922971725195,15.8899857915478,15.5188521914333,15.0750382732073,20.3636244613677,15.238553461624731,13.8510593300198,21.647103535728803,17.3462083765721,17.6877469246513,16.2478381415417,14.0920602522127,19.81053773879669,19.79334006098542,18.312720529871,16.1714689097952,17.043946760898134,13.5474705211801,17.1541853955919,19.968358485927133,16.7475757771672,24.3953461510272,18.126375002473267,16.460518518973302,14.6790134915796,19.620158572929306,17.799079400942606,14.88784164209747,13.8151012501234,16.866960699065235,17.644625309474286,13.6806456310237,22.193843574861106,15.22727547352367,15.011472485712302,14.4059043792281,22.4276493377221,18.939538797063335,15.5659618920628,13.9095234452135,19.6027706587287,17.1351467293353,20.1297746564458,15.1179340882108,16.660977388954592,13.489427694770747,20.7615396423684,15.5389863868362,18.6428330089484,15.3890776238504,13.8339640058646,18.2624201214042,15.1460900665163,15.4283126632059,17.370828601942996,17.168823707077,18.691440817330506,15.8385272470619,18.12445873832412,16.0347275088113,16.0923099952896,15.9142153116538,13.236897207001,16.63276338265828,18.4787830169478,15.9304804545453,19.369743614639106,16.7025117581917,13.108755754901305,16.5218489198363,14.974181765297,15.6749189827668,15.0500300409567,18.5826678688144,15.832916866516838,14.676769987346196,16.4188181504352,16.1206216912353,13.938431101208,17.4286013480679,23.760436949711103,21.719084994569176,14.9977366252356,19.0754466496768,15.7381425962051,14.6901344309862,19.208005967925104,17.0840399088034,24.5016441436364,22.59041704939319,19.968489735743606,16.783009387557,16.226074159945,22.12515505833661,20.12341277106589,16.2309901055047,21.147277580034867,19.2681008566563,17.6180977333029,16.506931375875098,15.409831700350196,18.8372648507072,15.430097406514,16.5579902203975,13.3117758627116,15.2426873674,13.8490752626899,15.3942354245486,15.307691437749574,23.1527618003534,21.2146189440448,23.027402485818502,21.08949629199289,18.467389345682303,15.325767297832,21.473580160516835,19.818708158953896,20.268739089968,18.1794907617142,14.680422618803,15.5100581755314,18.2968993851469,16.2339849604514,18.2802807866883,16.180429995070057,16.8165956121298,16.2251481254522,16.365638438659197,16.6616954907967,14.6397936473137,14.3077218196449,16.574333526786603,18.4508744259304,17.2369901538777,21.4759581988551,20.363781711576102,20.5436498502895,19.272752083373597,15.6349008012467,20.4069733717904,19.4099257042805,19.6892014717942,18.3135638321401,19.702966313688897,18.4828805961657,14.9618308738935,13.910669560202,21.20393401470369,13.320486200247,14.1332067344701,19.39181684958369,18.3284074846815,16.858543137621698,14.926063779082902,15.9327358995743,14.9175420339171
